"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","term"
"628","RT @OxfamAmerica: Families 'only able to eat once every few days' in #Nigeria hunger crisis warns Oxfam: https://t.co/ZJvwu0SJz5",FALSE,0,NA,2016-09-30 19:48:20,FALSE,NA,"781943782195494913",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","NdukweEmole1",55,TRUE,FALSE,NA,NA,"boko haram"
"629","US builds a $100 million African drone base to fight Boko Haram https://t.co/GTMoGSzaZH",FALSE,0,NA,2016-09-30 19:48:20,FALSE,NA,"781943781784444928",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","reclaimifytest",0,FALSE,FALSE,NA,NA,"boko haram"
"630","RT @engadget: US builds a $100 million African drone base to fight Boko Haram https://t.co/RlAkjiSkZu https://t.co/V3uObPLuUp",FALSE,0,NA,2016-09-30 19:48:17,FALSE,NA,"781943772162564096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jdyerboy",16,TRUE,FALSE,NA,NA,"boko haram"
"631","RT @OxfamAmerica: Families 'only able to eat once every few days' in #Nigeria hunger crisis warns Oxfam: https://t.co/ZJvwu0SJz5",FALSE,0,NA,2016-09-30 19:48:17,FALSE,NA,"781943770329784320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","allwewantisbiaf",55,TRUE,FALSE,NA,NA,"boko haram"
"632","New post: ""US builds a $100 million African drone base to fight Boko Haram"" https://t.co/04wGki91r7",FALSE,0,NA,2016-09-30 19:48:16,FALSE,NA,"781943768249405440",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","mshgadget",0,FALSE,FALSE,NA,NA,"boko haram"
"633","Defeating Boko Haram Without Foreign Help Showed Nigeria Is Truly Independent – Group: As Nigeria Marks it’s ... https://t.co/JK2S62FHgo",FALSE,0,NA,2016-09-30 19:48:11,FALSE,NA,"781943746405421056",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","RealAbdulQadir",0,FALSE,FALSE,NA,NA,"boko haram"
"634","""US builds a $100 million African drone base to fight Boko Haram"" https://t.co/mQvJfNVT4G :3",FALSE,0,NA,2016-09-30 19:48:02,FALSE,NA,"781943708992307201",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","ciaochaw",0,FALSE,FALSE,NA,NA,"boko haram"
"635","Boko Haram region could become world's worst crisis: UN https://t.co/ob9WgWPeXX",FALSE,0,NA,2016-09-30 19:47:58,FALSE,NA,"781943692546412544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StaraceKJ",0,FALSE,FALSE,NA,NA,"boko haram"
"636","RT @engadget: US builds a $100 million African drone base to fight Boko Haram https://t.co/RlAkjiSkZu https://t.co/V3uObPLuUp",FALSE,0,NA,2016-09-30 19:47:58,FALSE,NA,"781943690256265216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ViscoLoveUS",16,TRUE,FALSE,NA,NA,"boko haram"
"637","US builds a $100 million African drone base to fight Boko Haram https://t.co/tueATi58eZ https://t.co/5SWN0qcytH",FALSE,0,NA,2016-09-30 19:47:55,FALSE,NA,"781943679325986816",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","IFkingLoveGames",0,FALSE,FALSE,NA,NA,"boko haram"
"638","RT @BokoHaramWatch: Business loans draw young Nigerians to join Boko Haram - Humanosphere: HumanosphereBusin... https://t.co/6MelBUGciL #se…",FALSE,0,NA,2016-09-30 19:47:54,FALSE,NA,"781943672694673408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WIyekekpolo",3,TRUE,FALSE,NA,NA,"boko haram"
"639","Pmb ordered Nigerian Army killed 3sons of sheikh Zakzaky, 1000+unarmed shiite#ZariaMassacre&amp;now hired boko haram to attacked Shiites@MBuhari",FALSE,0,NA,2016-09-30 19:47:49,FALSE,NA,"781943652327251969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Basheeryusif",6,FALSE,FALSE,NA,NA,"boko haram"
"640","RT @engadget: US builds a $100 million African drone base to fight Boko Haram https://t.co/RlAkjiSkZu https://t.co/V3uObPLuUp",FALSE,0,NA,2016-09-30 19:47:48,FALSE,NA,"781943649038954496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ernest_kahome",16,TRUE,FALSE,NA,NA,"boko haram"
"641","US builds a $100 million African drone base to fight Boko Haram https://t.co/WljnrYIpRf",FALSE,0,NA,2016-09-30 19:47:44,FALSE,NA,"781943632806891521",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","themash",0,FALSE,FALSE,NA,NA,"boko haram"
"642","US builds a $100 million African drone base to fight Boko Haram: The Department of Defense… https://t.co/KAF83S8pzt",FALSE,0,NA,2016-09-30 19:47:42,FALSE,NA,"781943625391411201",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Feedjunkie",0,FALSE,FALSE,NA,NA,"boko haram"
"643","US builds a $100 million African drone base to fight Boko Haram https://t.co/DqHPxbld6F",FALSE,0,NA,2016-09-30 19:47:41,FALSE,NA,"781943621159362560",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","thedrakeslayer",0,FALSE,FALSE,NA,NA,"boko haram"
"644","Held Captive For 2 Years By Boko Haram: Rebecca’s Story https://t.co/J4wGsZJ67M via @writinggomer",FALSE,0,NA,2016-09-30 19:47:39,FALSE,NA,"781943613366341632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Marianneshope",0,FALSE,FALSE,NA,NA,"boko haram"
"645","Famine killing tens of thousands in Boko Haram region -U.N.. https://t.co/ZCdBdwoSub",FALSE,0,NA,2016-09-30 19:47:36,FALSE,NA,"781943598321430528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HTSoweto",0,FALSE,FALSE,NA,NA,"boko haram"
"646","US builds a $100 million African drone base to fight Boko Haram https://t.co/EXibmX9Z2y",FALSE,0,NA,2016-09-30 19:47:31,FALSE,NA,"781943578331324416",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","electricalsWH",0,FALSE,FALSE,NA,NA,"boko haram"
"647","RT @Amaka_Ekwo: Savaged by Boko Haram https://t.co/L9R1b3LOEx",FALSE,0,NA,2016-09-30 19:47:28,FALSE,NA,"781943566973231104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Biafranlive",46,TRUE,FALSE,NA,NA,"boko haram"
"648","US builds a $100 million African drone base to fight Boko Haram https://t.co/RlAkjiSkZu https://t.co/V3uObPLuUp",FALSE,18,NA,2016-09-30 19:47:28,FALSE,NA,"781943563659730944",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","engadget",16,FALSE,FALSE,NA,NA,"boko haram"
"649","US builds a $100 million African drone base to fight Boko Haram The Department of Defense announced on Friday... https://t.co/qGhc8tUCad",FALSE,0,NA,2016-09-30 19:47:26,FALSE,NA,"781943558370627584",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","IT_MANCON",0,FALSE,FALSE,NA,NA,"boko haram"
