"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"308","Engadget News: US builds a $100 million African drone base to fight Boko Haram https://t.co/bvtALsTaB2",FALSE,0,NA,2016-09-30 19:51:52,FALSE,NA,"781944673216696321",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","greyinggeekjon",0,FALSE,FALSE,NA,NA
"309","US builds a $100 million African drone base to fight Boko Haram #technews https://t.co/m24JnjVFNK",FALSE,0,NA,2016-09-30 19:51:46,FALSE,NA,"781944648575098880",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","need4geeks",0,FALSE,FALSE,NA,NA
"310","engadget: US builds a $100 million African drone base to fight Boko Haram https://t.co/DVCYqTXkO8 https://t.co/eX58mXutFd",FALSE,0,NA,2016-09-30 19:51:42,FALSE,NA,"781944629470134272",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Point_tecno",0,FALSE,FALSE,NA,NA
"311","US builds a $100 million African drone base to fight Boko Haram https://t.co/bqAzzlZRbM",FALSE,0,NA,2016-09-30 19:51:40,FALSE,NA,"781944622452973569",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TodaysNewsStory",0,FALSE,FALSE,NA,NA
"312","US builds a $100 million African drone base to fight Boko Haram https://t.co/YuraxWW5qF https://t.co/XtTxlBvQpj

— Engadget (engadget) Se…",FALSE,0,NA,2016-09-30 19:51:40,FALSE,NA,"781944620695642112",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","NerdNewsFeed",0,FALSE,FALSE,NA,NA
"313","US builds a $100 million African drone base to fight Boko Haram https://t.co/nz7ZJorNtI https://t.co/GfffU60iZC v… https://t.co/455Y1ugDMh",FALSE,0,NA,2016-09-30 19:51:38,FALSE,NA,"781944614223749120",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","RerateUSA",0,FALSE,FALSE,NA,NA
"314","US builds a $100 million African drone base to fight Boko Haram https://t.co/qPsGooTo5t #NEWS #Tech",FALSE,0,NA,2016-09-30 19:51:37,FALSE,NA,"781944611166101504",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","sfsf_co",0,FALSE,FALSE,NA,NA
"315","US builds a $100 million African drone base to fight Boko Haram - https://t.co/EYWEXqHbAB - by Andrew Tarantola",FALSE,0,NA,2016-09-30 19:51:37,FALSE,NA,"781944610071379968",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","thunderbluex76",0,FALSE,FALSE,NA,NA
"316","RT @IRLA_USA: Savaged by #BokoHaram https://t.co/nfCvStuuD8 #Nigeria",FALSE,0,NA,2016-09-30 19:51:36,FALSE,NA,"781944606913073152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ugochuk8987786",23,TRUE,FALSE,NA,NA
"317","Engadget: US builds a $100 million African drone base to fight Boko Haram https://t.co/ek5E9GnRsV https://t.co/juomTGWltM #News",FALSE,0,NA,2016-09-30 19:51:35,FALSE,NA,"781944601175359488",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","FromPlusUltra",0,FALSE,FALSE,NA,NA
"318","US builds a $100 million African drone base to fight Boko Haram https://t.co/4VDMDOScZN",FALSE,0,NA,2016-09-30 19:51:34,FALSE,NA,"781944597975031808",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","FarisRazif",0,FALSE,FALSE,NA,NA
"319","US builds a $100 million African drone base to fight Boko Haram https://t.co/IWLVWt8IPm",FALSE,0,NA,2016-09-30 19:51:30,FALSE,NA,"781944580396769280",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Nordammarketin2",0,FALSE,FALSE,NA,NA
"320","14 soldiers killed in anti-Boko Haram operations https://t.co/OBwK8A5w0m",FALSE,0,NA,2016-09-30 19:51:29,FALSE,NA,"781944574667288576",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","RandomNaija",0,FALSE,FALSE,NA,NA
"321","US builds a $100 million African drone base to fight Boko Haram The Department of Defense announced on Friday... https://t.co/9xzywgbLpo",FALSE,0,NA,2016-09-30 19:51:26,FALSE,NA,"781944565573951488",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","TechKnowledgeIt",0,FALSE,FALSE,NA,NA
"322","RT @RichardGrenell: She refused to put Boko Haram on the terror list. 600 little girls raped, killed &amp; kidnapped by Boko Haram. https://t.c…",FALSE,0,NA,2016-09-30 19:51:25,FALSE,NA,"781944560142299136",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LGambino1",824,TRUE,FALSE,NA,NA
"323","US builds a $100 million African drone base to fight Boko Haram https://t.co/JFKh7wXstT https://t.co/hUkPJebLK5",FALSE,0,NA,2016-09-30 19:51:25,FALSE,NA,"781944558003298305",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","blackibiza",0,FALSE,FALSE,NA,NA
"324","New post: ""US builds a $100 million African drone base to fight Boko Haram"" https://t.co/9eSjDmXCn2",FALSE,0,NA,2016-09-30 19:51:24,FALSE,NA,"781944555335712768",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","drunktechguy",0,FALSE,FALSE,NA,NA
"325","US builds a $100 million African drone base to fight Boko Haram https://t.co/AllozrRzFt https://t.co/8WrTUvdQml #Tech #News #Technology #…",FALSE,0,NA,2016-09-30 19:51:22,FALSE,NA,"781944545261092864",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TGVIA",0,FALSE,FALSE,NA,NA
"326","US builds a $100 million African drone base to fight Boko Haram https://t.co/53uzjz7pR7 #AppleNews",FALSE,0,NA,2016-09-30 19:51:21,FALSE,NA,"781944542077607939",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","engelbrechtd",0,FALSE,FALSE,NA,NA
"327","US builds a $100 million African drone base to fight Boko Haram https://t.co/sDz2uftsy8",FALSE,0,NA,2016-09-30 19:51:17,FALSE,NA,"781944527477178368",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Amy_Sharpton",0,FALSE,FALSE,NA,NA
"328","RT @IRLA_USA: Savaged by #BokoHaram https://t.co/nfCvStuuD8 #Nigeria",FALSE,0,NA,2016-09-30 19:51:13,FALSE,NA,"781944508766384128",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","ONYECHEGE3",23,TRUE,FALSE,NA,NA
"329","#US builds a $100 million African drone base to fight Boko Haram https://t.co/QIHN1lvMBH",FALSE,0,NA,2016-09-30 19:51:12,FALSE,NA,"781944506329493504",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Michael_Vasanth",0,FALSE,FALSE,NA,NA
"330","#APITConnect - US builds a $100 million African drone base to fight Boko Haram https://t.co/FHmZuQmlkZ",FALSE,0,NA,2016-09-30 19:51:11,FALSE,NA,"781944499933220864",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","AshtapailuIT",0,FALSE,FALSE,NA,NA
"331","US builds a $100 million African drone base to fight Boko Haram https://t.co/kOhqdWmyjL https://t.co/nwQDBqGSAB",FALSE,0,NA,2016-09-30 19:51:10,FALSE,NA,"781944498595082240",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","EngadgetUK",0,FALSE,FALSE,NA,NA
"332","""US builds a $100 million African drone base to fight Boko Haram"" https://t.co/BFJYhfcyvQ #gadgets",FALSE,0,NA,2016-09-30 19:51:03,FALSE,NA,"781944468626870272",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","GadgetInfoNews",0,FALSE,FALSE,NA,NA
"333","RT @Amaka_Ekwo: Nnamdi Kanu must be a prophet.

Nigeria now like then Somalia says OXFAM.

Pls support #SelfDetermination. #Biafra 

https:…",FALSE,0,NA,2016-09-30 19:51:02,FALSE,NA,"781944461786054656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","onyemaphilip7",41,TRUE,FALSE,NA,NA
"334","US builds a $100 million African drone base to fight Boko Haram https://t.co/ZyVG4cUJX2 #gadget gadgetkingXL https://t.co/F9bXSbxLvV",FALSE,0,NA,2016-09-30 19:51:00,FALSE,NA,"781944453158342656",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","gadgetkingXL",0,FALSE,FALSE,NA,NA
"335","US builds a $100 million African drone base to fight Boko Haram https://t.co/mktD368Wvl https://t.co/4PXtXHjWOr",FALSE,0,NA,2016-09-30 19:50:57,FALSE,NA,"781944444253794304",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Teducation1",0,FALSE,FALSE,NA,NA
"336","Engadget RSS Feed // US builds a $100 million African drone base to fight Boko Haram https://t.co/2WWagdphO7",FALSE,0,NA,2016-09-30 19:50:51,FALSE,NA,"781944418777661440",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","jaugernews",0,FALSE,FALSE,NA,NA
"337","US builds a $100 million African drone base to fight Boko Haram https://t.co/W55jBlwim8 https://t.co/R4UKUQvFRA",FALSE,0,NA,2016-09-30 19:50:49,FALSE,NA,"781944408828735488",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","nkr102",0,FALSE,FALSE,NA,NA
"338","US builds a $100 million African drone base to fight Boko Haram https://t.co/gjssfxTpIA",FALSE,0,NA,2016-09-30 19:50:47,FALSE,NA,"781944399861252097",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","mikeadams68",0,FALSE,FALSE,NA,NA
"339","RT @OxfamAmerica: Families 'only able to eat once every few days' in #Nigeria hunger crisis warns Oxfam: https://t.co/ZJvwu0SJz5",FALSE,0,NA,2016-09-30 19:50:45,FALSE,NA,"781944393947308032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nwobinonso",38,TRUE,FALSE,NA,NA
"340","US builds a $100 million African drone base to fight Boko Haram #gadgetnews #prototype #geek https://t.co/tOAInYf9Jc",FALSE,1,NA,2016-09-30 19:50:42,FALSE,NA,"781944378508075008",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","ultra_gizmo",0,FALSE,FALSE,NA,NA
"341","14 soldiers killed in anti-Boko Haram operations https://t.co/waBUoBGsa9 https://t.co/aulLXSqe0G",FALSE,0,NA,2016-09-30 19:50:40,FALSE,NA,"781944372577259520",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","inspiredMichael",0,FALSE,FALSE,NA,NA
"342","14 soldiers killed in anti-Boko Haram operations: Niger - Zee News https://t.co/661D0W4aDk #yugvani",FALSE,0,NA,2016-09-30 19:50:37,FALSE,NA,"781944359113465856",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","yugvaniworld",0,FALSE,FALSE,NA,NA
"343","RT @Amaka_Ekwo: Nnamdi Kanu must be a prophet.

Nigeria now like then Somalia says OXFAM.

Pls support #SelfDetermination. #Biafra 

https:…",FALSE,0,NA,2016-09-30 19:50:37,FALSE,NA,"781944359088492544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","allwewantisbiaf",41,TRUE,FALSE,NA,NA
"344","US builds a $100 million African drone base to fight Boko Haram https://t.co/IFC6SAic24 https://t.co/gkpFdGeY5Q",FALSE,0,NA,2016-09-30 19:50:37,FALSE,NA,"781944356584423424",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Gaspertweets",0,FALSE,FALSE,NA,NA
"345","RT @Amaka_Ekwo: Savaged by Boko Haram https://t.co/L9R1b3LOEx",FALSE,0,NA,2016-09-30 19:50:32,FALSE,NA,"781944337173188608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nwobinonso",32,TRUE,FALSE,NA,NA
"346","US builds a $100 million African drone base to fight Boko Haram https://t.co/uBzwy5bGuh https://t.co/epI27I5lNZ",FALSE,0,NA,2016-09-30 19:50:30,FALSE,NA,"781944328268632064",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","ingadget_",0,FALSE,FALSE,NA,NA
"347","Defeating Boko Haram Without Foreign Help Showed Nigeria Is Truly Independent – Group https://t.co/dsqIeOpe2D",FALSE,0,NA,2016-09-30 19:50:28,FALSE,NA,"781944321612386304",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","HeraldNG",2,FALSE,FALSE,NA,NA
